Prices,Restaurants
2,Kiraku
1,KoJa Kitchen
2,Angeline's Louisiana Kitchen
2,Eureka!
2,Great China
1,Tharaphu Burmese Street Food
1,Toss Noodle Bar
3,Ippuku
2,Ippudo
1,Gypsy's Trattoria Italiano
2,Simply Bowl
2,Bonchon Chicken - Berkeley
2,Gather
1,Brazil Fresh Squeeze Cafe
1,Smoke's Poutinerie
1,Shihlin Taiwan Street Snacks
1,Imm Thai Street Food
2,Berkeley Social Club
3,Julia's Restaurant
2,Mezzo
2,The Butcher's Son
3,Saha
2,Tasty Pot
2,Poké Bar
1,The Flying Falafel
2,Maîson Bleue
1,Tacos Sinaloa
2,La Note
1,Cinnaholic
1,Sushinista
2,Jupiter
2,Platano
2,Venus Restaurant
2,Guacamole 61
1,Doner and Kebab
1,Sliver Pizzeria
1,The Halal Guys - Berkeley
1,Top Dog
1,Tamon Tea
1,Pasta Bene
1,Cafe Nostos
1,Heat Cafe
1,Suya African Caribbean Grill
2,Organic Greens
2,Chick'n Rice
2,Cornerstone Craft Beer & Live Music
1,"The Noodle, Thai Restaurant"
2,Rojbas Grill
2,Jayakarta Restaurant
2,Lucia's Berkeley
2,East Bay Spice Company
2,Musashi
2,Chengdu Style Restaurant
2,Sumo Roll
1,Tivoli Caffe
2,Poki Poke
1,1951 Coffee Shop
2,Razan's Organic Kitchen
1,Dumpling Express
2,Poke Parlor
2,Comal
1,Bongo Burger
2,Mount Everest Restaurant
1,Fresco Mexican Grill
1,A Dora Pie
1,Face to Face
1,Dojo Dog
2,Pedro's Brazil Cafe
1,Boba Ninja
1,Cracked
2,Beta Lounge
2,Muracci's Berkeley
1,Wiki Wiki Hawaiian BBQ
2,Cafe Tibet
1,Bangkok Noodles & Thai BBQ
2,Peak Point
2,VCafe
2,Cancun Sabor Mexicano
2,Gio's Pizza and Bocce
2,Finfine Ethiopian Restaurant
2,Tuk Tuk Thai Cafe
2,Saturn Cafe Berkeley
1,I.B.'s Berkeley
1,Thai Noodle II
1,CRUNCH Korean - American Fusion Foods
1,Cheese 'N' Stuff
2,Tender Greens
1,Cafe Blue Door
1,Ike's Love and Sandwiches
1,Gadani
1,Barbarian Pizza Bar
2,Raleigh's Pub
1,Famous Bao
1,Au Coquelet Cafe Restaurant
1,T-Toust
1,Sol y Luna Taqueria
1,Thai Basil Cuisine
1,Kimchi Garden
1,Seniore's Pizza
2,Tap Haus
1,Sushi Secrets
2,Koryo Restaurant
3,FIVE
1,Udupi Palace
1,King Dong Chinese
3,Revival Bar & Kitchen
1,El Burro Picante
2,Gecko Gecko Thai California Eatery
2,Kaze Ramen
1,Artichoke Basille's Pizza
2,Anzu Restaurant
2,Berkeley Student Food Collective
2,Sushi California
1,Steve's Bar-B-Que
2,Triple Rock Brewery & Ale House
2,Bobby G's Pizzeria
1,PIQ Bakery
1,Katsumi Sushi
1,Chinese Express
1,House of Curries
2,Spats
2,The Sunny Side Café
1,Saigon Express
2,The Tandoori Nite
2,C U Sushi
1,Racha Cafe
2,Nanayiro
1,Oasis Grill
1,Pho K & K
1,Sandwich Zone
2,The Musical Offering Cafe
1,Durant Square - Asian Ghetto
1,Little Plearn Thai Kitchen
1,Han's Bistro
1,Cal Gyro Mediterranean
1,La Burrita
1,Seasons of Japan
2,BurgerMeister
1,Lucky House Thai
1,Chaat Cafe
2,Dim Sum Truck
2,Turkish Kitchen
1,Arinell Pizza
2,Namaste Madras Cuisine
2,Bacheesos
2,Free House
1,E-Z Stop Deli
2,Zabu Zabu
1,Cafe Milano
1,Little Hunan
1,Sweetheart Cafe
1,Julie's Cafe
1,D'Yar
2,Le Bateau Ivre
1,Taco Bell
1,Yali's Oxford Street Cafe
2,Plearn Thai
1,Red Tomato Pizza House
1,Momo Island
1,D-HUB
1,Pappy's Grill & Sports Bar
2,Berkeley Thai House
2,The Organic Coup
1,Original Pollo
1,Tako Sushi
1,Cafe Durant
1,Frausto's Restaurant
1,Ladle & Leaf
1,Fat Slice Pizza
1,Indian Flavors Express
1,Royal Ground Coffee House
2,Fondue Fred
1,Kip's Bar
1,Cafe Panini
1,ABE's Pizza
1,Sunrise Deli
2,The Original
1,Lotus House
1,Pancho's Mexican Grill
1,Tea Fever
1,Kathmandu Market and Deli
1,Rainbow Ranch Cafe
2,Chang Luong
2,Chez Trik
1,Mandarin House
1,McDonald's
1,Nuha's Cafe
1,Jazz Caffe
1,UCafe
1,Chipotle Mexican Grill
1,Papa John's Pizza
1,Lox Stock & Bagel
1,Berkeley Espresso
1,Cafe Rio
2,Extreme Pizza - Shattuck Ave.
1,K's Internet Cafe
1,Subway
1,The Little Dipper Chocolate Company
2,Tigerlily Berkeley
2,Grégoire
1,The Snack Shack
4,Chez Panisse
1,Cheese Board Pizza
2,Guacamole 61
2,Nico's 1508
3,Corso
3,Chez Panisse Cafe
1,MoMo
2,Kamado Sushi
2,Cha-Ya
2,The Cheese Board
2,Taste of the Himalayas
2,Da Lian
2,Agrodolce Osteria
2,JotMahal Palace of Indian Cuisine
1,Oriental Restaurant
2,Saul's Restaurant & Delicatessen
1,Abe's Cafe
2,Lo Coco's
2,Barney's Gourmet Hamburgers
2,sweetgreen
2,César
1,Pizzahhh
2,Mission Heirloom
1,Karma Kitchen
1,Aki Japanese Restaurant
2,Epicurious Garden
1,Urbann Turbann
2,Lou Lou Pop Up
2,Crepevine Restaurant
2,Daily Pint
2,The Local Butcher Shop
1,Zak's Snacks
1,The Stuffed Inn
2,Brazil Cafe Bistro
1,Bongo Burger
2,Dara Thai Lao Cuisine
2,Thai Delight Cuisine
2,Juice Bar Collective
1,Hummingbird Cafe
2,Toyo Japanese Restaurant
1,Nefeli Caffe
2,Imperial Tea Court
1,Camille
1,T C Garden Restaurant
2,Celia's Mexican Restaurant
2,Fat Apple's Restaurant & Bakery
2,Poulet
1,Jasmine Thai
1,La Val's Pizza
1,V&A Cafe
1,Soop
1,Northside Cafe
1,La Burrita
1,Dyar Mediterranean Cuisine
2,Guerilla Cafe
1,Fertile Grounds Cafe
2,Kirala 2 Japanese Cuisine
2,Party Sushi
1,Pat Brown's Grill
1,Rose & Grove Market
1,Subway
